id,group,SNP_00,SNP_01,SNP_02,SNP_03,SNP_04,SNP_05,SNP_06,SNP_07,SNP_08,SNP_09,SNP_10,SNP_11,SNP_12,SNP_13,SNP_14,SNP_15,SNP_16,SNP_17,SNP_18,SNP_19,SNP_20,SNP_21,SNP_22,SNP_23,SNP_24,SNP_25,SNP_26,SNP_27,SNP_28,SNP_29,SNP_30,SNP_31,SNP_32,SNP_33,SNP_34,SNP_35,SNP_36,SNP_37,SNP_38,SNP_39,SNP_40
10316,Retail,208,185,165,146,128,116,104,98,91,84,79,69,66,62,59,58,56,45,43,39,37,35,32,30,27,25,23,23,22,22,21,20,16,15,14,13,12,11,11,9,9
11283,Farm,97,80,65,58,46,40,34,31,27,25,24,21,20,19,17,17,16,13,13,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11436,Hatchery,390,355,324,294,265,246,220,208,197,185,174,157,151,141,132,130,126,118,115,107,99,97,94,90,87,84,81,77,76,74,73,70,65,63,1,1,1,1,1,1,1
11940,Retail,168,145,129,113,97,87,79,74,70,65,63,57,55,53,51,51,49,46,44,40,38,36,33,31,28,26,24,24,23,23,22,21,17,16,15,14,13,12,12,10,10
12088,Retail,210,187,167,148,130,118,106,100,93,86,81,71,68,64,61,60,58,53,51,45,42,40,37,35,32,30,23,23,22,22,21,20,16,15,14,13,12,11,11,9,9
12478,Retail,400,365,334,304,274,255,229,217,206,194,183,166,160,150,141,139,135,127,124,116,108,106,103,99,96,93,90,86,85,83,82,79,74,72,68,65,61,57,54,49,49
12752,Retail,259,233,210,188,168,156,141,134,127,119,113,102,99,94,91,90,87,82,80,74,68,66,63,61,58,56,53,51,50,50,49,47,42,41,39,38,35,32,31,26,26
13034,Diagnostic,313,279,250,221,44,38,32,29,25,23,22,19,18,17,15,15,14,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13039,Retail,154,131,115,101,85,75,67,62,58,53,52,46,44,42,40,40,38,35,34,30,28,26,24,22,20,18,16,16,15,15,15,15,11,10,9,8,4,1,1,1,1
13103,Farm,239,213,192,170,151,139,126,119,112,104,98,88,85,81,78,77,75,70,68,62,57,55,52,50,47,45,42,40,39,39,38,36,31,30,28,27,24,22,22,18,18
13488,Farm,215,192,172,153,135,123,111,105,98,91,86,76,73,69,66,65,63,58,56,50,47,45,42,40,37,35,32,30,29,29,28,26,21,20,19,18,12,11,11,9,9
13578,Abattoir,379,344,313,283,254,235,209,197,186,174,163,146,140,131,122,120,116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13840,Retail,232,206,186,165,147,135,122,115,108,100,94,84,81,77,74,73,71,66,64,58,54,52,49,47,44,42,39,37,36,36,35,33,28,27,25,24,21,19,19,15,15
14148,Retail,180,157,128,112,96,86,78,73,69,64,62,56,54,52,50,50,48,45,43,39,37,35,32,30,27,25,23,23,22,22,21,20,16,15,14,13,12,11,11,9,9
14228,Farm,199,176,156,137,119,107,95,89,82,75,70,56,54,52,50,50,48,45,43,39,37,35,32,30,27,25,23,23,22,22,21,20,16,15,14,13,12,11,11,9,9
14945,Retail,179,156,137,120,104,93,84,79,75,70,68,61,59,57,55,55,53,50,48,43,40,38,35,33,30,28,26,26,25,25,24,23,19,18,17,16,15,14,14,12,12
15001,Hatchery,295,264,237,210,185,172,154,147,140,130,123,110,107,17,15,15,14,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15007,Abattoir,276,245,219,194,44,38,32,29,25,23,22,19,18,17,15,15,14,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15261,Farm,218,195,175,156,138,126,114,108,101,94,89,79,76,72,69,68,66,61,59,53,50,48,45,43,40,38,35,33,32,32,31,29,24,23,22,21,19,18,18,14,14
15321,Farm,8,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16682,Farm,83,67,52,45,34,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17072,Retail,349,315,286,257,228,209,186,176,166,155,146,130,125,116,111,110,106,100,98,92,85,83,80,77,74,72,69,65,64,64,63,61,56,55,53,52,48,45,44,39,39
17173,Hatchery,373,338,307,277,248,229,203,191,180,168,157,140,134,125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17205,Farm,94,77,62,55,43,37,31,28,24,21,20,17,16,15,13,13,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17565,Retail,173,150,131,112,96,86,78,73,69,64,62,56,54,52,50,50,48,45,43,39,37,35,32,30,27,25,23,23,22,22,21,20,16,15,14,13,12,11,11,9,9
18963,Retail,104,87,72,65,53,47,41,38,34,32,31,28,27,26,24,24,23,20,20,17,16,16,14,13,11,10,8,8,7,7,7,7,1,1,1,1,1,1,1,1,1
19109,Retail,355,321,291,262,233,214,191,181,171,160,151,135,130,121,116,115,111,105,103,97,90,88,85,82,79,77,74,70,69,69,68,66,61,60,58,55,51,48,47,42,42
