id,group,cgMLST_00,cgMLST_01,cgMLST_02,cgMLST_03,cgMLST_04,cgMLST_05,cgMLST_06,cgMLST_07,cgMLST_08,cgMLST_09,cgMLST_10,cgMLST_11,cgMLST_12,cgMLST_13,cgMLST_14,cgMLST_15,cgMLST_16,cgMLST_17,cgMLST_18,cgMLST_19,cgMLST_20,cgMLST_21,cgMLST_22,cgMLST_23,cgMLST_24,cgMLST_25,cgMLST_26,cgMLST_27,cgMLST_28,cgMLST_29,cgMLST_30,cgMLST_31,cgMLST_32,cgMLST_33,cgMLST_34,cgMLST_35
10316,Retail,298,175,101,60,36,27,21,19,19,17,15,13,13,13,10,9,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11283,Farm,231,119,65,42,24,18,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11436,Hatchery,126,70,16,14,8,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11940,Retail,325,198,120,73,36,27,21,19,19,17,15,13,13,13,10,9,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12088,Retail,314,188,112,69,42,30,21,19,19,17,15,13,13,13,10,9,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12478,Retail,121,65,16,14,8,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12752,Retail,279,163,94,56,33,24,18,16,16,14,12,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13034,Diagnostic,195,115,65,42,24,18,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13039,Retail,145,84,50,32,18,13,12,10,10,9,7,6,6,6,6,6,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13103,Farm,50,24,13,11,7,5,5,5,5,5,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
